Fichier, Temps Naif (µs), Temps Welzl (µs)
test-361.points, 120557, 49
test-362.points, 131907, 39
test-363.points, 101369, 14
test-364.points, 89681, 25
test-365.points, 92431, 21
test-366.points, 107102, 22
test-367.points, 100594, 18
test-368.points, 107508, 17
test-369.points, 102417, 16
test-37.points, 127552, 30
test-370.points, 94638, 29
test-371.points, 85207, 11
test-372.points, 107796, 27
test-373.points, 133470, 19
test-374.points, 168019, 22
test-375.points, 97384, 29
test-376.points, 115743, 28
test-377.points, 116541, 50
test-378.points, 119888, 22
test-379.points, 132759, 45
test-38.points, 115896, 13
test-380.points, 155065, 31
test-381.points, 90179, 24
test-382.points, 93691, 17
test-383.points, 105606, 33
test-384.points, 108417, 28
test-385.points, 99061, 27
test-386.points, 119980, 18
test-387.points, 100985, 14
test-388.points, 98341, 36
test-389.points, 87736, 21
test-39.points, 127113, 34
test-390.points, 138884, 31
test-391.points, 98500, 28
test-392.points, 97637, 26
test-393.points, 110162, 31
test-394.points, 92333, 10
test-395.points, 121360, 41
test-396.points, 104491, 18
test-397.points, 95909, 21
test-398.points, 97391, 38
test-399.points, 98352, 12
test-4.points, 134406, 44
test-40.points, 132959, 31
test-400.points, 117587, 18
test-401.points, 113818, 15
test-402.points, 93343, 9
test-403.points, 96827, 16
test-404.points, 105527, 25
test-405.points, 100821, 11
test-406.points, 108976, 17
test-407.points, 116104, 21
test-408.points, 114497, 38
test-409.points, 104473, 32
test-41.points, 106131, 28
test-410.points, 98079, 28
